sepal_length,sepal_width,petal_length,petal_width,target,species,sepal_area,petal_area,sepal_petal_ratio,sepal_length_zscore,petal_length_zscore
5.1,3.5,1.4,0.2,0,setosa,17.849999999999998,0.27999999999999997,63.75,-0.8976738791967661,-1.3357516342415203
4.9,3.0,1.4,0.2,0,setosa,14.700000000000001,0.27999999999999997,52.50000000000001,-1.1392004834649532,-1.3357516342415203
4.7,3.2,1.3,0.2,0,setosa,15.040000000000001,0.26,57.84615384615385,-1.3807270877331412,-1.3923992862449772
4.6,3.1,1.5,0.2,0,setosa,14.26,0.30000000000000004,47.533333333333324,-1.5014903898672358,-1.2791039822380632
5.0,3.6,1.4,0.2,0,setosa,18.0,0.27999999999999997,64.28571428571429,-1.0184371813308597,-1.3357516342415203
5.4,3.9,1.7,0.4,0,setosa,21.060000000000002,0.68,30.97058823529412,-0.5353839727944832,-1.165808678231149
4.6,3.4,1.4,0.3,0,setosa,15.639999999999999,0.42,37.238095238095234,-1.5014903898672358,-1.3357516342415203
5.0,3.4,1.5,0.2,0,setosa,17.0,0.30000000000000004,56.66666666666666,-1.0184371813308597,-1.2791039822380632
4.4,2.9,1.4,0.2,0,setosa,12.76,0.27999999999999997,45.57142857142858,-1.743016994135423,-1.3357516342415203
4.9,3.1,1.5,0.1,0,setosa,15.190000000000001,0.15000000000000002,101.26666666666667,-1.1392004834649532,-1.2791039822380632
5.4,3.7,1.5,0.2,0,setosa,19.980000000000004,0.30000000000000004,66.60000000000001,-0.5353839727944832,-1.2791039822380632
4.8,3.4,1.6,0.2,0,setosa,16.32,0.32000000000000006,50.99999999999999,-1.2599637855990478,-1.2224563302346059
4.8,3.0,1.4,0.1,0,setosa,14.399999999999999,0.13999999999999999,102.85714285714286,-1.2599637855990478,-1.3357516342415203
4.3,3.0,1.1,0.1,0,setosa,12.899999999999999,0.11000000000000001,117.27272727272724,-1.8637802962695176,-1.5056945902518917
5.8,4.0,1.2,0.2,0,setosa,23.2,0.24,96.66666666666667,-0.05233076425810806,-1.4490469382484348
5.7,4.4,1.5,0.4,0,setosa,25.080000000000002,0.6000000000000001,41.8,-0.1730940663922016,-1.2791039822380632
5.4,3.9,1.3,0.4,0,setosa,21.060000000000002,0.52,40.5,-0.5353839727944832,-1.3923992862449772
5.1,3.5,1.4,0.3,0,setosa,17.849999999999998,0.42,42.5,-0.8976738791967661,-1.3357516342415203
5.7,3.8,1.7,0.3,0,setosa,21.66,0.51,42.470588235294116,-0.1730940663922016,-1.165808678231149
5.1,3.8,1.5,0.3,0,setosa,19.38,0.44999999999999996,43.06666666666667,-0.8976738791967661,-1.2791039822380632
5.4,3.4,1.7,0.2,0,setosa,18.36,0.34,53.99999999999999,-0.5353839727944832,-1.165808678231149
5.1,3.7,1.5,0.4,0,setosa,18.87,0.6000000000000001,31.449999999999996,-0.8976738791967661,-1.2791039822380632
4.6,3.6,1.0,0.2,0,setosa,16.56,0.2,82.79999999999998,-1.5014903898672358,-1.562342242255349
5.1,3.3,1.7,0.5,0,setosa,16.83,0.85,19.799999999999997,-0.8976738791967661,-1.165808678231149
4.8,3.4,1.9,0.2,0,setosa,16.32,0.38,42.94736842105263,-1.2599637855990478,-1.0525133742242345
5.0,3.0,1.6,0.2,0,setosa,15.0,0.32000000000000006,46.87499999999999,-1.0184371813308597,-1.2224563302346059
5.0,3.4,1.6,0.4,0,setosa,17.0,0.6400000000000001,26.562499999999996,-1.0184371813308597,-1.2224563302346059
5.2,3.5,1.5,0.2,0,setosa,18.2,0.30000000000000004,60.66666666666666,-0.7769105770626714,-1.2791039822380632
5.2,3.4,1.4,0.2,0,setosa,17.68,0.27999999999999997,63.142857142857146,-0.7769105770626714,-1.3357516342415203
4.7,3.2,1.6,0.2,0,setosa,15.040000000000001,0.32000000000000006,46.99999999999999,-1.3807270877331412,-1.2224563302346059
4.8,3.1,1.6,0.2,0,setosa,14.879999999999999,0.32000000000000006,46.499999999999986,-1.2599637855990478,-1.2224563302346059
5.4,3.4,1.5,0.4,0,setosa,18.36,0.6000000000000001,30.599999999999994,-0.5353839727944832,-1.2791039822380632
5.2,4.1,1.5,0.1,0,setosa,21.32,0.15000000000000002,142.13333333333333,-0.7769105770626714,-1.2791039822380632
